,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Louisville,12,45.3,19.8,34.1,58.2,302.0,2.7,40.8,256.8,6.3,3.1,74.9,558.8,7.5,12.0,12.3,1.8,26.2,7.8,71.9,1.8,0.8,2.6
2,Oklahoma,11,45.3,21.7,30.6,70.9,322.7,3.5,43.4,228.2,5.3,2.3,74.0,550.9,7.4,13.6,10.4,1.1,25.1,4.7,47.7,0.7,0.7,1.5
3,Washington,12,44.8,18.8,28.8,65.0,279.6,3.7,37.2,205.4,5.5,1.8,66.0,485.0,7.3,11.8,9.9,1.6,23.3,5.6,48.6,0.4,0.6,1.0
4,Western Michigan,12,44.8,19.0,26.6,71.5,257.2,2.5,46.6,247.3,5.3,2.9,73.2,504.4,6.9,10.8,14.0,1.4,26.3,4.8,46.3,0.3,0.1,0.4
5,Louisiana Tech,12,44.0,24.8,37.2,66.8,348.0,3.0,30.0,169.1,5.6,2.3,67.2,517.1,7.7,14.3,8.9,1.9,25.1,4.9,46.8,0.6,0.7,1.3
6,Western Kentucky,12,44.0,22.0,34.3,64.2,329.8,3.0,33.2,176.0,5.3,2.3,67.4,505.8,7.5,13.2,9.3,1.3,23.8,6.5,64.6,0.8,0.5,1.3
7,Texas Tech,12,43.7,35.7,54.4,65.5,463.0,3.9,32.4,103.6,3.2,1.8,86.8,566.6,6.5,19.8,7.7,2.5,29.9,7.8,62.0,0.5,0.9,1.4
8,South Florida,12,43.6,16.8,27.2,62.0,222.9,2.0,43.5,292.2,6.7,3.7,70.7,515.1,7.3,9.0,12.8,1.2,23.0,6.5,59.4,0.7,0.6,1.3
9,Ohio State,12,42.7,19.7,31.3,62.8,221.2,2.2,46.7,258.3,5.5,2.8,78.0,479.5,6.1,9.3,14.4,1.5,25.3,6.2,48.8,0.3,0.4,0.8
10,Pittsburgh,12,42.3,14.4,24.6,58.6,217.8,2.2,42.5,229.8,5.4,2.9,67.1,447.5,6.7,8.9,9.9,1.8,20.7,5.8,49.8,0.7,0.5,1.2
11,Navy,11,41.7,6.5,11.0,59.5,128.0,0.7,56.6,342.0,6.0,4.8,67.6,470.0,6.9,4.5,16.8,1.1,22.5,2.7,23.3,0.5,0.3,0.8
12,Tulsa,12,41.4,19.8,34.2,58.0,260.8,2.3,51.8,262.4,5.1,2.7,85.9,523.2,6.1,12.6,13.5,2.2,28.3,6.3,54.9,0.8,1.0,1.8
13,Michigan,12,41.0,17.3,27.7,62.3,216.1,1.6,44.8,223.3,5.0,3.3,72.5,439.3,6.1,9.2,11.5,1.6,22.3,4.9,46.3,0.4,0.5,0.9
14,Oklahoma State,11,40.4,23.7,37.0,64.1,335.2,2.4,37.5,165.2,4.4,2.5,74.5,500.4,6.7,13.9,8.9,1.5,24.3,5.5,52.6,0.9,0.4,1.3
15,Washington State,12,40.3,36.4,51.1,71.3,370.8,3.3,28.1,128.0,4.6,1.9,79.2,498.8,6.3,17.8,6.7,2.5,27.0,8.0,70.0,0.4,0.9,1.3
16,Middle Tennessee State,12,40.1,26.6,42.1,63.2,317.0,2.9,32.9,197.8,6.0,2.1,75.0,514.8,6.9,13.8,9.0,1.8,24.5,5.8,53.3,0.4,1.1,1.5
17,Clemson,12,40.0,28.3,41.8,67.7,336.3,3.2,38.3,172.7,4.5,1.8,80.0,509.0,6.4,15.8,8.5,2.2,26.6,6.6,58.8,0.8,1.2,1.9
18,Memphis,12,39.5,23.0,35.7,64.5,294.9,2.5,37.8,166.9,4.4,1.9,73.5,461.8,6.3,13.0,8.1,1.9,23.0,6.4,59.8,0.8,0.8,1.5
19,Alabama,12,39.4,19.3,29.2,66.3,231.3,1.9,43.2,248.3,5.8,2.1,72.3,479.6,6.6,9.2,12.3,0.7,22.1,5.3,41.5,0.8,0.8,1.6
20,Toledo,12,38.8,22.8,33.1,68.8,329.1,3.7,40.3,200.7,5.0,1.3,73.4,529.8,7.2,13.3,9.8,2.1,25.1,7.0,61.2,0.4,0.8,1.2
21,Wyoming,12,38.2,14.8,26.1,56.9,228.5,2.0,45.8,218.9,4.8,2.5,71.9,447.4,6.2,10.2,11.1,1.8,23.0,4.4,42.6,0.7,0.9,1.6
22,Houston,12,38.0,27.3,40.8,66.9,301.9,2.0,43.3,157.3,3.6,2.3,84.1,459.2,5.5,14.1,9.5,1.3,24.8,4.7,45.3,0.8,0.9,1.8
23,New Mexico,12,37.8,7.8,14.4,53.8,109.3,0.9,53.0,360.9,6.8,3.7,67.4,470.3,7.0,4.8,15.6,0.8,21.2,6.7,58.9,0.7,0.5,1.2
24,California,12,37.1,31.9,51.8,61.7,358.8,3.1,34.5,154.3,4.5,1.3,86.3,513.2,5.9,16.4,8.6,2.9,27.9,7.4,75.8,0.3,1.0,1.3
